english, arabic, word_id
1,لا,No
2,من,Of
3,في,In
4,أن,That
5,هذا,This is
6,على,On
7,ما,What
8,أنا,I
9,هل,Is
10,و,And
11,يا,O
12,ذلك,So
13,لقد,I have
14,لم,Not
15,ماذا,What
16,هنا,Here
17,كان,Was
18,أنت,You are
19,إلى,To
20,هو,Is
21,هذه,These
22,عن,About
23,ان,The
24,نعم,Yes
25,هناك,There are
26,كل,All
27,ليس,Not
28,كنت,I
29,فقط,Only
30,الآن,Now
31,مع,With
32,شيء,Something
33,الذي,Which
34,لكن,But
35,يجب,Must be
36,لك,You
37,لن,Will not be
38,كيف,How do
39,أجل,For
40,انا,I am
41,حسنا,Well
42,فى,In
43,لي,Lee
44,نحن,We are
45,سوف,Will
46,إنه,It is
47,كانت,The
48,عندما,When
49,إذا,If
50,لماذا,Why
51,أي,Ie
52,قد,Has
53,أنه,That
54,الأمر,It
55,هي,Is
56,بعد,After
57,كذلك,As well as
58,حتى,Up to
59,انه,He
60,قبل,Before
61,أو,Or
62,لو,Le
63,أين,Where
64,التي,Which
65,الى,To
66,ولكن,But
67,هيا,Come on
68,تلك,Those
69,ربما,Maybe
70,إنها,It is
71,أعرف,I know
72,بعض,Some
73,يكون,Be
74,…,…
75,أريد,I want to thousand
76,انت,You are
77,إن,The
78,أعتقد,I think
79,مثل,Such as
80,عليك,You have
81,به,By
82,بخير,Fine
83,أنك,You thousand
84,صحيح,TRUE
85,الوقت,Time
86,أحد,A
87,شخص,Person
88,رجل,Man
89,أعلم,I know
90,جيد,Good
91,أكثر,More than
92,تكون,Be
93,علي,Ali
94,يمكن,Can
95,لذا,So
96,كما,As
97,اليوم,Today
98,يبدو,It seems
99,أليس,Alice
100,انها,It's
101,يمكنك,You can
102,لدي,I have
103,كلا,Both
104,آخر,Another
105,عليه,It
106,منذ,Since
107,لست,I'm not
108,غير,Is
109,أيها,O
110,لديك,You have
111,تريد,Want
112,أستطيع,I
113,الرجل,Men
114,تعرف,Know
115,له,Has
116,مرة,Once
117,بأن,That
118,لدينا,We have
119,واحد,One
120,شئ,Nothing
121,يمكنني,I
122,أنها,It
123,حدث,Event
124,بها,By
125,الناس,People
126,ليست,Not
127,سيكون,Will be
128,أوه,Oh
129,أنني,I
130,أفضل,Best
131,مكان,Place
132,تفعل,Do
133,سيدي,Sir
134,يكن,Not
135,الكثير,Lot
136,اذا,If
137,بهذا,This
138,وقت,Time
139,جدا,Very
140,بي,My
141,علينا,We have
142,أخرى,Others
143,رائع,Fantastic
144,آسف,Sorry
145,بذلك,Thus
146,بك,Your
147,كم,Km
148,وأنا,I
149,يوجد,There are
150,يحدث,happen
151,واحدة,One
152,قلت,I said
153,ثم,Then
154,يوم,Day
155,سيد,Mr
156,مرحبا,Hello
157,معك,With you
158,شكرا,Thanks
159,أبي,Dad
160,معي,With me
161,ولا,And
162,تعلم,Learn
163,لها,Her
164,بالطبع,Of course
165,إذن,So
166,الليلة,Tonight
167,العمل,Work
168,المكان,Location
169,لهذا,This
170,إلهي,God
171,فعل,Doing
172,ألا,Not
173,هكذا,Thus
174,الان,Now
175,تم,The
176,الحقيقة,Truth
177,أمي,Mom
178,لـ,for
179,حول,About
180,بما,Including
181,لذلك,So
182,حقا,Really
183,لديه,Has
184,الجميع,All
185,يمكننا,We can
186,لنا,Us
187,حال,If
188,لأن,Because
189,بالتأكيد,Definitely
190,خلال,During
191,بشكل,In
192,فحسب,Only
193,عليها,By
194,بـ,B
195,العالم,World
196,عنه,About
197,الذهاب,Go
198,فعلت,I did
199,هم,They are
200,قال,He said
